<ID>;<Name>;ATPD_PICT_EUROFEUILLE;ATPD_PICT_AB_AGRI_BIO;photo_id;media_url
P02000000000123;AUCHAN BIOD YAOURT CITRON X4;Oui;;MEDIASTEP9660076;https://media.auchan.fr/MEDIASTEP9660076_0x0/
P02000000000122;AUCHAN BIOD YRT MANG VANI X4;Oui;;MEDIASTEP9660075;https://media.auchan.fr/MEDIASTEP9660075_0x0/
P0200000000011Q;BIO L2V FONDANT CACAO 4X125G;;Oui;MEDIASTEP159602103;https://media.auchan.fr/MEDIASTEP159602103_0x0/
P0200000000020S;BIO L2V POIRE 4X115G;;Oui;MEDIASTEP132323229;https://media.auchan.fr/MEDIASTEP132323229_0x0/
P0200000000020U;BIO L2V COCO 4X115G;;Oui;MEDIASTEP132323269;https://media.auchan.fr/MEDIASTEP132323269_0x0/
P0200000000022R;BIO MATIN LEGER LAIT BT 6X50CL;Oui;Oui;MEDIASTEP161555424;https://media.auchan.fr/MEDIASTEP161555424_0x0/
P020000000002EN;BIOL CA DES POMME PRUNEAU X4;;Oui;MEDIASTEP70263976;https://media.auchan.fr/MEDIASTEP70263976_0x0/
P020000000002GK;AUCHAN BIO PUREE POMME SSA X4;Oui;;MEDIASTEP66804268;https://media.auchan.fr/MEDIASTEP66804268_0x0/
P020000000002NY;AUCHAN BIOD YT NATURE SUCRE X4;Oui;;MEDIASTEP74724506;https://media.auchan.fr/MEDIASTEP74724506_0x0/
P020000000003GS;BIO L2V FRAMBOISE 4X115G;;Oui;MEDIASTEP132323424;https://media.auchan.fr/MEDIASTEP132323424_0x0/
P020000000003GR;BIO L2V MYRTILLE 4X115G;;Oui;MEDIASTEP132852214;https://media.auchan.fr/MEDIASTEP132852214_0x0/
P020000000003GT;BIO L2V YRT JUS CITRON 4X115G;;Oui;MEDIASTEP132323462;https://media.auchan.fr/MEDIASTEP132323462_0x0/
P020000000003W9;BIOL PRESIDENT CFR 30%MG 40CL;Oui;Oui;MEDIASTEP77904849;https://media.auchan.fr/MEDIASTEP77904849_0x0/
A0220160311000029020;AUCHAN BIOD PPC VANILLE 2X100G;Oui;;MEDIASTEP9658569;https://media.auchan.fr/MEDIASTEP9658569_0x0/
A0220160311000029019;AUCHAN BIOD PPC CHOC 2X100G;Oui;;MEDIASTEP9658568;https://media.auchan.fr/MEDIASTEP9658568_0x0/
A0220150826000862784;BIO L2V VANILLE 4X115G;Oui;Oui;MEDIASTEP76403153;https://media.auchan.fr/MEDIASTEP76403153_0x0/
A0220150824000862570;AUCHAN BIOD CREM 15% BK 3X20CL;Oui;;MEDIASTEP61362805;https://media.auchan.fr/MEDIASTEP61362805_0x0/
A0220150410000806627;BIO L2V YAB PECHE FRAISE X6;Oui;Oui;MEDIASTEP165212970;https://media.auchan.fr/MEDIASTEP165212970_0x0/
A0220150324000805995;AUCHAN BIOD YAOURT VANILLE X4;Oui;;MEDIASTEP9661475;https://media.auchan.fr/MEDIASTEP9661475_0x0/
A0220150130000803424;BIO VRAI YT NATURE 8X125G FF;;Oui;MEDIASTEP99335762;https://media.auchan.fr/MEDIASTEP99335762_0x0/
A0220150130000803433;BIOL CA DESSERT POMM CASSIS X4;;Oui;MEDIASTEP144164510;https://media.auchan.fr/MEDIASTEP144164510_0x0/
A0220141222000802138;REG BIO VERNEUIL LAIT 1/2E BK1L;Oui;;MEDIASTEP140211378;https://media.auchan.fr/MEDIASTEP140211378_0x0/
A0220141222000802141;REG BIO LAIT 1/2E BK 6X1L;;Oui;MEDIASTEP139803132;https://media.auchan.fr/MEDIASTEP139803132_0x0/
A0220140925000798999;AUC BIO YAOURT LIT CHATAIGNEX2;Oui;;MEDIASTEP88483505;https://media.auchan.fr/MEDIASTEP88483505_0x0/
A0220140901000797564;BIO L2V BRASSE NATURE 4X115G;;Oui;MEDIASTEP159602623;https://media.auchan.fr/MEDIASTEP159602623_0x0/
A0220140424000791246;AUCHAN BIOD YAOURT BREB MYR X2;Oui;;MEDIASTEP9660775;https://media.auchan.fr/MEDIASTEP9660775_0x0/
A0220140424000791239;AUCHAN BIOD YAOURT BREB CHA X2;Oui;;MEDIASTEP9660773;https://media.auchan.fr/MEDIASTEP9660773_0x0/
A0220140415000790882;BIO VRAI YAOURT 0% NAT 4X125G;;Oui;MEDIASTEP138953522;https://media.auchan.fr/MEDIASTEP138953522_0x0/
A0220140415000790884;BIO VRAI YT LAIT BREB NAT250G;;Oui;MEDIASTEP138966174;https://media.auchan.fr/MEDIASTEP138966174_0x0/
A0220140415000790886;BIO VRAI FROM BLC 3;;;MEDIASTEP138953595;https://media.auchan.fr/MEDIASTEP138953595_0x0/
A0220140415000790880;BIO VRAI YAOURT NATURE 4X125G;;Oui;MEDIASTEP164470650;https://media.auchan.fr/MEDIASTEP164470650_0x0/
A0220140404000790371;BIO VRAI YT BREBIS MYRT 2X125G;;Oui;MEDIASTEP138967770;https://media.auchan.fr/MEDIASTEP138967770_0x0/
A0220130329000643927;BIO L2V FLAN 4X100G;;Oui;MEDIASTEP164951188;https://media.auchan.fr/MEDIASTEP164951188_0x0/
A0220130131000642524;BIO VRAI FROM BLC CHEVRE 400G;;Oui;MEDIASTEP138962275;https://media.auchan.fr/MEDIASTEP138962275_0x0/
A0220121105000012620;BIOL C ALICE POMME RHUBARBE X4;;Oui;MEDIASTEP144164387;https://media.auchan.fr/MEDIASTEP144164387_0x0/
A0220120628000544323;BIO VRAI Y BREBIS NATURE 4X120;;Oui;MEDIASTEP72099943;https://media.auchan.fr/MEDIASTEP72099943_0x0/
A0220120620000543161;AUC BIO CREME FL 30% BT 25CL;Oui;;MEDIASTEP81271559;https://media.auchan.fr/MEDIASTEP81271559_0x0/
A0220120619000543021;REG FAISSELLE BIO 40% 4X100G;;Oui;MEDIASTEP85295265;https://media.auchan.fr/MEDIASTEP85295265_0x0/
A0220120116000302798;BIO LACTEL 1/2E BT 7+1GT;Oui;Oui;MEDIASTEP73419694;https://media.auchan.fr/MEDIASTEP73419694_0x0/
A0220111004000022346;AUC BIOD YRT LAIT BREBIS VANX2;Oui;;MEDIASTEP61590187;https://media.auchan.fr/MEDIASTEP61590187_0x0/
A0220110728000386826;BIO VRAI FR BLANC BREBIS 400G;;Oui;MEDIASTEP138972423;https://media.auchan.fr/MEDIASTEP138972423_0x0/
A0220110728000386822;BIO VRAI YAOURT GRECQUE 2X125G;;Oui;MEDIASTEP93372658;https://media.auchan.fr/MEDIASTEP93372658_0x0/
A0220110610000025457;BIOD LACTEL MAT LEG 1;;;MEDIASTEP161555852;https://media.auchan.fr/MEDIASTEP161555852_0x0/
A0220110610000025455;BIO LACTEL MATIN LEG 1;;;MEDIASTEP161556037;https://media.auchan.fr/MEDIASTEP161556037_0x0/
A0220110302000012989;BIO VRAI DESS BREBIS CHOCO250G;;Oui;MEDIASTEP138953435;https://media.auchan.fr/MEDIASTEP138953435_0x0/
A0220101129000046871;BIOL PT BASQUE YT VELOUTE X2;Oui;Oui;MEDIASTEP64539337;https://media.auchan.fr/MEDIASTEP64539337_0x0/
A0220101129000046768;BIOL C ALICE POMM CHATAI 4X95G;;Oui;MEDIASTEP144164426;https://media.auchan.fr/MEDIASTEP144164426_0x0/
A0220100902000010331;RIK ROK BIOD FROMAGE FR FRT X6;Oui;;MEDIASTEP163785534;https://media.auchan.fr/MEDIASTEP163785534_0x0/
A0220100803000019373;BIO LACTEL ECREME BT 8X1L;Oui;Oui;MEDIASTEP139231486;https://media.auchan.fr/MEDIASTEP139231486_0x0/
A0220100726000038126;AUCHAN BIOD YRT BREBIS NAT X2;Oui;;MEDIASTEP9659230;https://media.auchan.fr/MEDIASTEP9659230_0x0/
A0220100721000034772;AUCHAN BIOD YRT FRUIT MIX X8;Oui;;MEDIASTEP9659003;https://media.auchan.fr/MEDIASTEP9659003_0x0/
A0220100721000034757;AUCHAN BIOD YAOURT FRUITS X8;Oui;;MEDIASTEP9659002;https://media.auchan.fr/MEDIASTEP9659002_0x0/
A0220100623000028720;BIO BICOUCHE MURE 4X125G;;;MEDIASTEP58889470;https://media.auchan.fr/MEDIASTEP58889470_0x0/
A0220100707000019244;BIO LACTEL ENTIER BT 6X50CL;Oui;Oui;MEDIASTEP139672091;https://media.auchan.fr/MEDIASTEP139672091_0x0/
A0220100520000018438;BIO GRANDLAIT 1/2 ECR BT 6X1L;;Oui;MEDIASTEP157120428;https://media.auchan.fr/MEDIASTEP157120428_0x0/
A0220100623000028740;BIO BICOUCHE FRAMBOISE 4X125G;;Oui;MEDIASTEP133561819;https://media.auchan.fr/MEDIASTEP133561819_0x0/
A0220100520000018315;BIO GRAND LAIT 1/2E BT 4X50CL;;Oui;MEDIASTEP62140509;https://media.auchan.fr/MEDIASTEP62140509_0x0/
A0220100309000649486;BIO EVEIL LACTEL BT 1L;Oui;Oui;MEDIASTEP9660286;https://media.auchan.fr/MEDIASTEP9660286_0x0/
A0220100312000649948;BIO VRAI Y BREBIS CITRON 2X125;;Oui;MEDIASTEP139028748;https://media.auchan.fr/MEDIASTEP139028748_0x0/
A0220100312000649940;BIO VRAI YAOURT BREBIS VAN250G;;Oui;MEDIASTEP139677690;https://media.auchan.fr/MEDIASTEP139677690_0x0/
A0220091230000641055;BIO CANDIA GRANDLAIT 1/2 ECR1L;;Oui;MEDIASTEP157120385;https://media.auchan.fr/MEDIASTEP157120385_0x0/
A0220090915000042605;AUCHAN BIOD YRT ENTIER NAT X12;Oui;;MEDIASTEP9659464;https://media.auchan.fr/MEDIASTEP9659464_0x0/
A0220090915000042606;AUCHAN BIOD YRT VANILLE 8X125G;Oui;;MEDIASTEP9659465;https://media.auchan.fr/MEDIASTEP9659465_0x0/
A0220100224000648636;BIOL ST MALO YT NATURE 4X125G;;Oui;MEDIASTEP132191267;https://media.auchan.fr/MEDIASTEP132191267_0x0/
A0220100224000648630;BIOL ST MALO YT VANILLE 4X125G;;Oui;MEDIASTEP137944237;https://media.auchan.fr/MEDIASTEP137944237_0x0/
A0220100216000647905;BIO VRAI Y CHEVRE NATURE 2X125;;Oui;MEDIASTEP139244699;https://media.auchan.fr/MEDIASTEP139244699_0x0/
A0220090602000010485;BIOL PT BASQUE YT GRECQ 2X150G;Oui;Oui;MEDIASTEP92860031;https://media.auchan.fr/MEDIASTEP92860031_0x0/
A0220090819000033371;BIO LEGALL CREME FLEURETTE 25C;Oui;Oui;MEDIASTEP105961112;https://media.auchan.fr/MEDIASTEP105961112_0x0/
A0220090319000049362;AUCHAN BIO DESSERT FRUIT PPOX4;Oui;;MEDIASTEP61590120;https://media.auchan.fr/MEDIASTEP61590120_0x0/
A0220090220000367615;BIO BICOUCHE MYRTILLE 4X125G;;Oui;MEDIASTEP133561818;https://media.auchan.fr/MEDIASTEP133561818_0x0/
A0220090310000021977;BIO L2V YRT NATURE 0% 4X115G;;Oui;MEDIASTEP159603076;https://media.auchan.fr/MEDIASTEP159603076_0x0/
A0220081127000037757;BIO LACTEL 1/2E BT 8X1L FF;Oui;Oui;MEDIASTEP132324057;https://media.auchan.fr/MEDIASTEP132324057_0x0/
A0220090210000028666;BIO LACTEL ECREME 6X50CL;Oui;Oui;MEDIASTEP139680658;https://media.auchan.fr/MEDIASTEP139680658_0x0/
A0220090210000026778;AUCHAN BIO SOJA 18% BK 3X20CL;Oui;;MEDIASTEP9658457;https://media.auchan.fr/MEDIASTEP9658457_0x0/
A0220081015000300413;BIO VRAI YT BREB CHATAIGNE250G;;Oui;MEDIASTEP139677660;https://media.auchan.fr/MEDIASTEP139677660_0x0/
A0220080229000373028;BIO VRAI Y BRASSE NATURE X4;;Oui;MEDIASTEP138953495;https://media.auchan.fr/MEDIASTEP138953495_0x0/
A0220070209000017714;BIO VRAI AROME CITRON 4X125G;;Oui;MEDIASTEP93372657;https://media.auchan.fr/MEDIASTEP93372657_0x0/
A0220061012000364831;AUCHAN BIOD YRT ENTI NATURE X4;Oui;;MEDIASTEP9659095;https://media.auchan.fr/MEDIASTEP9659095_0x0/
A0220060407000548742;BIO LACTEL 1/2E BT 6X25CL;Oui;Oui;MEDIASTEP139670729;https://media.auchan.fr/MEDIASTEP139670729_0x0/
A0220050304000014195;AUCHAN BIOD RIZ AU LAIT 2X140G;Oui;;MEDIASTEP9657541;https://media.auchan.fr/MEDIASTEP9657541_0x0/
A0219991104000790223;BIOL PRESID CREME UHT 25CL;Oui;Oui;MEDIASTEP77756412;https://media.auchan.fr/MEDIASTEP77756412_0x0/
A0220021030000659030;BIOL MORIN MOUSSE CHOCO 100G;Oui;Oui;MEDIASTEP79157604;https://media.auchan.fr/MEDIASTEP79157604_0x0/
A0219980629000645033;BIOD LACTEL LT FR PAST 1/2E 1L;Oui;Oui;MEDIASTEP84115458;https://media.auchan.fr/MEDIASTEP84115458_0x0/
A0219991005000042899;BIO LACTEL ECREME BT 1L;Oui;Oui;MEDIASTEP159483956;https://media.auchan.fr/MEDIASTEP159483956_0x0/
A0219970707000048396;BIO LACTEL ENTIER BT 6X1L;Oui;Oui;MEDIASTEP159482452;https://media.auchan.fr/MEDIASTEP159482452_0x0/
A0219970129000035232;BIO VRAI FLAN CARAMEL 4X125G;;Oui;MEDIASTEP103292724;https://media.auchan.fr/MEDIASTEP103292724_0x0/
A0219991005000043070;BIO LACTEL ECREME BT 6X1L;Oui;Oui;MEDIASTEP159483771;https://media.auchan.fr/MEDIASTEP159483771_0x0/
A0219950614000042124;BIO LACTEL 1/2E BT 1L;Oui;Oui;MEDIASTEP158998148;https://media.auchan.fr/MEDIASTEP158998148_0x0/
A0219950614000042137;BIOD LACTEL 1/2E BT 6X1L;Oui;Oui;MEDIASTEP161569469;https://media.auchan.fr/MEDIASTEP161569469_0x0/
A0219950524000028837;BIO VRAI CREME FR NORMAND 200G;Oui;Oui;MEDIASTEP82431413;https://media.auchan.fr/MEDIASTEP82431413_0x0/
A0219970911000034711;BIO VRAI FROMAGE BLANC 0% 500G;;Oui;MEDIASTEP138953810;https://media.auchan.fr/MEDIASTEP138953810_0x0/
A0220061012000364851;AUCHAN BIOD FROMAGE BLANC 500G;Oui;;MEDIASTEP74975524;https://media.auchan.fr/MEDIASTEP74975524_0x0/
A0220100216000647906;BIO VRAI Y CHEVRE VANILL 2X125;;Oui;MEDIASTEP138960123;https://media.auchan.fr/MEDIASTEP138960123_0x0/
A0220070302000015006;BIO VRAI AROME VANILLE 4X125G;;Oui;MEDIASTEP101704931;https://media.auchan.fr/MEDIASTEP101704931_0x0/
A0220030807000049691;AUCHAN BIO LAIT 1/2E BT 1L;Oui;Oui;MEDIASTEP61590273;https://media.auchan.fr/MEDIASTEP61590273_0x0/
A0219980602000642615;BIOD LACTEL 1/2E BT 6X50CL;Oui;Oui;MEDIASTEP139673855;https://media.auchan.fr/MEDIASTEP139673855_0x0/
A0219970707000048365;BIO LACTEL ENTIER BT 1L;Oui;Oui;MEDIASTEP158422671;https://media.auchan.fr/MEDIASTEP158422671_0x0/
A0220090602000010448;BIOL PT BASQUE SEMOUL LT 2X140;Oui;Oui;MEDIASTEP92860027;https://media.auchan.fr/MEDIASTEP92860027_0x0/
A0219980219000309785;BIOD BRIDEL LAIT 1/2 ECREME 1L;Oui;Oui;MEDIASTEP84636946;https://media.auchan.fr/MEDIASTEP84636946_0x0/
P020000000004CJ;BIOL LA LAITIERE VANILLE X4;Oui;Oui;MEDIASTEP86451702;https://media.auchan.fr/MEDIASTEP86451702_0x0/
P020000000004QV;BIO L2V CREMEUH CHOCO 4X95G;;Oui;MEDIASTEP138953734;https://media.auchan.fr/MEDIASTEP138953734_0x0/
P020000000004QX;BIO L2V CREMEUH VANILLE 4X95G;;Oui;MEDIASTEP139120389;https://media.auchan.fr/MEDIASTEP139120389_0x0/
P020000000004QW;BIO L2V CREMEUH CARAMEL 4X95G;;Oui;MEDIASTEP138953787;https://media.auchan.fr/MEDIASTEP138953787_0x0/
P020000000004QE;AUCHAN BIO RIZ 14% BK 3X20CL;Oui;;MEDIASTEP56244377;https://media.auchan.fr/MEDIASTEP56244377_0x0/
P020000000004ZC;BIO GRANDLAIT 1/2 ECR 8X1L FF;;Oui;MEDIASTEP141634912;https://media.auchan.fr/MEDIASTEP141634912_0x0/
P0200000000051S;BIO LACTEL MATIN LEG ECR 6X1L;Oui;Oui;MEDIASTEP161556681;https://media.auchan.fr/MEDIASTEP161556681_0x0/
A0219980602000642612;BIO LACTEL 1/2E BT 50CL;Oui;Oui;MEDIASTEP139674263;https://media.auchan.fr/MEDIASTEP139674263_0x0/
P020000000004CK;BIOL LA LAITIER RIZ LAIT NATX4;Oui;Oui;MEDIASTEP90478119;https://media.auchan.fr/MEDIASTEP90478119_0x0/
P020000000005JJ;BIOL PTITS FILOUS PANACHE X12;Oui;Oui;MEDIASTEP72587747;https://media.auchan.fr/MEDIASTEP72587747_0x0/
P020000000005NY;AUCHAN BIO SOJA CHOCO X4;Oui;;MEDIASTEP133752924;https://media.auchan.fr/MEDIASTEP133752924_0x0/
P020000000005O0;AUCHAN BIO SOJA NATURE 4X100G;Oui;;MEDIASTEP66063646;https://media.auchan.fr/MEDIASTEP66063646_0x0/
P020000000005PS;BIOL DANONE NATURE X4;;Oui;MEDIASTEP160222356;https://media.auchan.fr/MEDIASTEP160222356_0x0/
P020000000005SM;BIOL MORIN CREME BRULEE 130G;;Oui;MEDIASTEP60112103;https://media.auchan.fr/MEDIASTEP60112103_0x0/
P020000000005SN;BIOL MORIN MOELLEUX CHOCO 120G;;Oui;MEDIASTEP61167463;https://media.auchan.fr/MEDIASTEP61167463_0x0/
P02000000000603;BIOD LACTEL LAIT KEFIR 50CL;Oui;;MEDIASTEP151284991;https://media.auchan.fr/MEDIASTEP151284991_0x0/
P0200000000066D;REG TEURGOU BIO JANVIL CANNEL750G;;Oui;MEDIASTEP85295283;https://media.auchan.fr/MEDIASTEP85295283_0x0/
P020000000006NA;BIOL CHARLE ALICE P/POIR 4X95G;;Oui;MEDIASTEP70263977;https://media.auchan.fr/MEDIASTEP70263977_0x0/
P0200000000076Z;AUCHAN BIOD YT GREC BRE 2X150G;Oui;;MEDIASTEP66063641;https://media.auchan.fr/MEDIASTEP66063641_0x0/
P0200000000078S;AUC BIOD LIEGEOIS CHOCOLAT X4;Oui;;MEDIASTEP69558433;https://media.auchan.fr/MEDIASTEP69558433_0x0/
P0200000000079D;AUCHAN BIOD YT FRAISE MIXEE X4;Oui;;MEDIASTEP65307284;https://media.auchan.fr/MEDIASTEP65307284_0x0/
P0200000000079C;AUCHAN BIO YT POIRE VANILLE X4;Oui;;MEDIASTEP65706723;https://media.auchan.fr/MEDIASTEP65706723_0x0/
P020000000007CC;BIOL CHARLES ALICE POMME X4;;Oui;MEDIASTEP70263978;https://media.auchan.fr/MEDIASTEP70263978_0x0/
P020000000007G0;BIO LES300 YT A LA GREC 450G;;Oui;MEDIASTEP82205138;https://media.auchan.fr/MEDIASTEP82205138_0x0/
P020000000007G9;BIO LES300 YT BRAS MUR MYRT X4;;Oui;MEDIASTEP135685240;https://media.auchan.fr/MEDIASTEP135685240_0x0/
P020000000007G8;BIO LES300 YT BRAS PEC ABR500G;;Oui;MEDIASTEP135685256;https://media.auchan.fr/MEDIASTEP135685256_0x0/
P020000000007H3;AUC BIOD LAIT  EQT ECR BT 1L;Oui;;MEDIASTEP65823798;https://media.auchan.fr/MEDIASTEP65823798_0x0/
P020000000007H5;AUC BIOD LAIT EQT ENT BT 1L;Oui;;MEDIASTEP65823799;https://media.auchan.fr/MEDIASTEP65823799_0x0/
P020000000007H4;AUC BIOD LAIT EQT ECR BT 6X1L;Oui;;MEDIASTEP65502804;https://media.auchan.fr/MEDIASTEP65502804_0x0/
P020000000007H6;AUC BIOD LAIT EQT ENT BT 6X1L;Oui;;MEDIASTEP65711814;https://media.auchan.fr/MEDIASTEP65711814_0x0/
P020000000007HA;AUC BIOD LAIT EQT 1/2E BT 1L;Oui;;MEDIASTEP65823796;https://media.auchan.fr/MEDIASTEP65823796_0x0/
P020000000007H2;AUC BIOD LAIT EQT 1/2E 6X50CL;Oui;;MEDIASTEP164563292;https://media.auchan.fr/MEDIASTEP164563292_0x0/
P020000000007H1;AUC BIOD LAIT EQT 1/2E BT 50CL;Oui;;MEDIASTEP65823797;https://media.auchan.fr/MEDIASTEP65823797_0x0/
P020000000007HB;AUC BIOD LAIT EQT 1/2E BT 6X1L;Oui;;MEDIASTEP65502802;https://media.auchan.fr/MEDIASTEP65502802_0x0/
P020000000007IP;AUC BIOD LAIT EQT 1/2E 6X25CL;Oui;;MEDIASTEP66051946;https://media.auchan.fr/MEDIASTEP66051946_0x0/
P020000000007FG;BIOL DANONINO FRTS PANA 50GX12;Oui;Oui;MEDIASTEP136683525;https://media.auchan.fr/MEDIASTEP136683525_0x0/
P020000000007XK;BIO L2V PTITS MIAM NATURE6X50G;;;MEDIASTEP65450495;https://media.auchan.fr/MEDIASTEP65450495_0x0/
P020000000007XL;BIO L2V PTITS MIAM FRUIT12X50G;;;MEDIASTEP138892199;https://media.auchan.fr/MEDIASTEP138892199_0x0/
P020000000007YU;BIOL ACTIVIA NATURE 125G X4;;Oui;MEDIASTEP76678486;https://media.auchan.fr/MEDIASTEP76678486_0x0/
P020000000007Z1;BIOL ACTIVIA CERIS CRANBERR X2;Oui;Oui;MEDIASTEP76637595;https://media.auchan.fr/MEDIASTEP76637595_0x0/
P0200000000084T;BIOL BRIDELICE CREM 15% 3X20CL;Oui;;MEDIASTEP132781684;https://media.auchan.fr/MEDIASTEP132781684_0x0/
P0200000000087T;AUCHAN BIOD LT FR FIL 1/2E 1L;Oui;;MEDIASTEP66765276;https://media.auchan.fr/MEDIASTEP66765276_0x0/
P0200000000087U;AUCHAN BIOD LAIT FR FIL ENT 1L;Oui;;MEDIASTEP66765277;https://media.auchan.fr/MEDIASTEP66765277_0x0/
P0200000000087Y;BIOL ST MALO FDT COEUR CHOCOX2;;Oui;MEDIASTEP72430278;https://media.auchan.fr/MEDIASTEP72430278_0x0/
P0200000000089S;BIO LACTEL LAIT 1/2E UHT  6X1L;;;MEDIASTEP139669633;https://media.auchan.fr/MEDIASTEP139669633_0x0/
P020000000008U4;BIO VRAI YAOURT CHEVRE NAT X4;;Oui;MEDIASTEP80041891;https://media.auchan.fr/MEDIASTEP80041891_0x0/
P0200000000094I;BIO PETITEPOUSSE COCO FRB 200G;Oui;;MEDIASTEP77848143;https://media.auchan.fr/MEDIASTEP77848143_0x0/
P0200000000094G;BIO PETITEPOUSSE COCOCITR 200G;Oui;Oui;MEDIASTEP77848145;https://media.auchan.fr/MEDIASTEP77848145_0x0/
P0200000000094K;BIO PETITEPOUSSE BRASSE COCO;Oui;Oui;MEDIASTEP77848142;https://media.auchan.fr/MEDIASTEP77848142_0x0/
P0200000000099L;AUCHAN BIOD CREME 30% POT 50CL;Oui;;MEDIASTEP69034819;https://media.auchan.fr/MEDIASTEP69034819_0x0/
P0200000000099M;AUCHAN BIOD CREME 30% POT 20CL;Oui;;MEDIASTEP69558445;https://media.auchan.fr/MEDIASTEP69558445_0x0/
P020000000009CV;BIO PETITEPOUSSE COCO VAN 200G;Oui;;MEDIASTEP77848148;https://media.auchan.fr/MEDIASTEP77848148_0x0/
P020000000009CZ;BIO PETITEPOUSSE COCO MANG200G;Oui;;MEDIASTEP77848146;https://media.auchan.fr/MEDIASTEP77848146_0x0/
P020000000009D3;BIO PETITEPOUSSE CACAO 180G;Oui;;MEDIASTEP77848144;https://media.auchan.fr/MEDIASTEP77848144_0x0/
P020000000009L0;BIO L2V PTITS MIAM FRUIT6X50G;;Oui;MEDIASTEP138892253;https://media.auchan.fr/MEDIASTEP138892253_0x0/
P020000000009L4;BIOL ALPRO BOISSON AMAND SS 1L;;;MEDIASTEP72430382;https://media.auchan.fr/MEDIASTEP72430382_0x0/
P020000000009V8;BIOL RIANS CREME CARAMEL 2X96G;;Oui;MEDIASTEP97933902;https://media.auchan.fr/MEDIASTEP97933902_0x0/
P02000000000A1D;BIOL DANONE BRASSE NATURE 480G;;Oui;MEDIASTEP71332601;https://media.auchan.fr/MEDIASTEP71332601_0x0/
P02000000000A3E;AUC BIO POMME MANGUE SSA X4;Oui;;MEDIASTEP76447155;https://media.auchan.fr/MEDIASTEP76447155_0x0/
P02000000000A3F;AUC BIO POMME PECHE SSA X4;Oui;Oui;MEDIASTEP74975694;https://media.auchan.fr/MEDIASTEP74975694_0x0/
P02000000000ABS;BIO L2V POMME CARAMEL 2X115G;Oui;Oui;MEDIASTEP76403158;https://media.auchan.fr/MEDIASTEP76403158_0x0/
P02000000000ABT;BIO L2V CREME MARRON 2X115G;;Oui;MEDIASTEP159616506;https://media.auchan.fr/MEDIASTEP159616506_0x0/
P02000000000ABP;BIO L2V FIGUE MIEL 2X115G;;Oui;MEDIASTEP159616542;https://media.auchan.fr/MEDIASTEP159616542_0x0/
P02000000000AHE;AUC BIO FROM FRAIS FRUITS X12;Oui;;MEDIASTEP81821530;https://media.auchan.fr/MEDIASTEP81821530_0x0/
P02000000000AIU;AUC BIOD LES AROMATISES X12;Oui;;MEDIASTEP77426562;https://media.auchan.fr/MEDIASTEP77426562_0x0/
P02000000000AIV;AUC BIOD LES MIXES FRUITS X8;Oui;;MEDIASTEP77426563;https://media.auchan.fr/MEDIASTEP77426563_0x0/
P02000000000ATA;BIOL ALPRO SOJA 1L;Oui;Oui;MEDIASTEP82431487;https://media.auchan.fr/MEDIASTEP82431487_0x0/
P02000000000BJH;BIO PUR NATUR YRT SKYR 400G;Oui;;MEDIASTEP159617028;https://media.auchan.fr/MEDIASTEP159617028_0x0/
P02000000000BJR;BIO PURNATUR YRT FRAMBOISE500G;Oui;;MEDIASTEP159617040;https://media.auchan.fr/MEDIASTEP159617040_0x0/
P02000000000BJM;BIO PUR NATURE GRENADE 150G;Oui;;MEDIASTEP73300372;https://media.auchan.fr/MEDIASTEP73300372_0x0/
P02000000000BJO;BIO PURNATUR YT MYRTILLE500G;Oui;;MEDIASTEP77262218;https://media.auchan.fr/MEDIASTEP77262218_0x0/
P02000000000BJU;BIO PURNATUR YT NAT BRASSE500G;Oui;Oui;MEDIASTEP73300360;https://media.auchan.fr/MEDIASTEP73300360_0x0/
P02000000000BJS;BIO PURNATUR YT VANILLE 500G;Oui;;MEDIASTEP132334820;https://media.auchan.fr/MEDIASTEP132334820_0x0/
P02000000000BLH;AUC BIOD YAOURT ABRICOT X4;Oui;;MEDIASTEP77426569;https://media.auchan.fr/MEDIASTEP77426569_0x0/
P02000000000BPF;BIO L2V PTITES PAILLES VAN600G;Oui;Oui;MEDIASTEP164950643;https://media.auchan.fr/MEDIASTEP164950643_0x0/
P02000000000BPM;AUC BIOD MOUSSE CHOC NR 2X70G;Oui;;MEDIASTEP81821831;https://media.auchan.fr/MEDIASTEP81821831_0x0/
P02000000000BVM;REG YOGOURMAND BIO VANILLE X4;;Oui;MEDIASTEP127006003;https://media.auchan.fr/MEDIASTEP127006003_0x0/
P02000000000BW9;REG YOGOURMAND BIO NATURE X4;;Oui;MEDIASTEP127006002;https://media.auchan.fr/MEDIASTEP127006002_0x0/
P02000000000BWK;REG YOGOURMAND BIO CREME 200G;;Oui;MEDIASTEP127006019;https://media.auchan.fr/MEDIASTEP127006019_0x0/
P02000000000BZ0;BIO PURNATUR YT NAT BRASSE1KG;Oui;;MEDIASTEP159617103;https://media.auchan.fr/MEDIASTEP159617103_0x0/
P02000000000C0I;BIO PURNATUR FRUITS FORET 150G;Oui;;MEDIASTEP72647895;https://media.auchan.fr/MEDIASTEP72647895_0x0/
P02000000000C13;BIOL YOPLAIT PANIE FRUI ROU X6;Oui;Oui;MEDIASTEP76248760;https://media.auchan.fr/MEDIASTEP76248760_0x0/
